"Element","Year","Unit","Asses","Cattle, dairy","Cattle, non-dairy","Chickens, broilers","Chickens, layers","Ducks","Goats","Horses","Mules","Sheep","Swine, breeding","Swine, market","Turkeys"
"Emissions (CH4) (Manure management)",2007,"gigagrams",0.0395,441.072,87.384,33.17,46.8812,0.138,0.3962,14.82,0,1.1628,118.78,562.6422,24.0145
"Emissions (CH4) (Manure management)",2008,"gigagrams",0.0395,447.072,86.7205,33.5013,45.9929,0.138,0.4053,14.82,0,1.1305,129.5359,613.5912,24.5779
"Emissions (CH4) (Manure management)",2009,"gigagrams",0.0395,441.696,85.519,31.7431,45.8459,0.136,0.399,15.288,0,1.0919,123.2857,583.9848,22.2623
"Emissions (CH4) (Manure management)",2010,"gigagrams",0.0395,437.904,84.9582,32.2899,46.2056,0.138,0.3949,15.6,0,1.0678,123.3575,584.325,21.9769
"Emissions (CH4) (Manure management)",2011,"gigagrams",0.0395,441.552,83.6884,31.828,46.0829,0.14,0.3895,15.834,0,1.0412,126.0855,597.2472,22.365
"Emissions (CH4) (Manure management)",2012,"gigagrams",0.0395,443.376,81.9232,31.6951,46.6574,0.144,0.3514,15.99,0,1.0212,125.8256,596.016,22.815
"Emissions (CH4) (Manure management)",2013,"gigagrams",0.0395,442.752,80.8712,31.8211,48.0104,0.146,0.3422,15.99,0,1.0184,123.0717,582.9714,21.6
"Emissions (CH4) (Manure management)",2014,"gigagrams",0.0395,444.336,79.269,32.3639,49.3449,0.156,0.3394,16.0056,0,0.9966,128.775,609.9867,21.375
"Emissions (CH4) (Manure management)",2015,"gigagrams",0.0395,446.7312,79.8361,33.0738,47.6812,0.1515,0.3445,16.0157,0,1.0032,130.9467,620.2737,20.979
"Emissions (CH4) (Manure management)",2016,"gigagrams",0.0395,446.9952,82.5756,32.154,49.5194,0.1475,0.34,16.3061,0,1.006,135.5563,642.1086,21.96
"Emissions (CH4) (Manure management)",2017,"gigagrams",0.0395,449.688,84.2561,31.8857,51.2499,0.1464,0.3415,16.2807,0,1.0013,138.9753,658.3041,22.068
"Emissions (CH4) (Manure management)",2018,"gigagrams",0.0395,452.7408,84.8659,31.6414,52.9444,0.1475,0.3431,16.3476,2e-04,1.0003,141.6454,670.9518,22.0275
