Subsection Code,Section,Subsection,Metadata
7.1,Formal Provision,Confidentiality - policy,"FAO Statistical Quality Assurance Framework, 2014, Principle 10: ""All data subject to national confidentiality policies (e.g. concerning people and legal entities, or small aggregates) are kept strictly confidential, and are used exclusively for statistical purposes, or for purposes mandated by legislation."""
7.2,Formal Provision,Confidentiality - data treatment,Only non-confidential data are recorded.
8,Policy Regarding the Release,Release policy,
8.1,Policy Regarding the Release,Release calendar,Data are released once a year.
8.2,Policy Regarding the Release,Release calendar access,http://fenixservices.fao.org/faostat/static/releasecalendar/Default.aspx
8.3,Policy Regarding the Release,User access,"In line with FAO’s Statistics Code of Practice data are disseminated on FAO's website respecting professional independence and in an objective, professional and transparent manner in which all users are treated equitably."
8.3.1,Policy Regarding the Release,User access code,
8.4,Policy Regarding the Release,Terms of use,FAOSTAT is part of FAO corporate statistical databases in scope of the FAO Open Data Licensing Policy. Terms of use are available at: http://www.fao.org/contact-us/terms/db-terms-of-use/en
9,Frequency Disseminated  Data,Frequency of dissemniation,Yearly
9.1,Frequency Disseminated  Data,Dissemination code,
10,Means of Dissemination,Dissemination format,"Web data portal, Comma-Separated Values (csv) files."
10.1,Means of Dissemination,News release,Ad-hoc news releases .
10.2,Means of Dissemination,Publications,"Tubiello, F. N.; Condor-Golec, R. D.; Salvatore, M.; Piersante, A.; Federici, S.; Ferrara, A.; Rossi, S.; Flammini, A.; Cardenas, P.; Biancalani, R.; et al. Estimating Greenhouse Gas Emissions in Agriculture; FAO, Food and Agriculture Organization of the United Nations: Rome, Italy, 2015; p 193.  Tubiello, F. N.; Salvatore, M.; Rossi, S.; Ferrara, A.; Fitton, N.; Smith, P. The FAOSTAT database of greenhouse gas emissions from agriculture. Environmental Research Letters 2013, 8 (1), 015009.   Federici, Sandro, Francesco N. Tubiello, Mirella Salvatore, Heather Jacobs, and Josef Schmidhuber. New estimates of CO 2 forest emissions and removals: 1990–2015. Forest Ecology and Management 352 (2015): 89-98.   Tubiello, Francesco N., Mirella Salvatore, Alessandro F. Ferrara, Jo House, Sandro Federici, Simone Rossi, Riccardo Biancalani et al. The contribution of agriculture, forestry and other land use activities to global warming, 1990–2012.Global change biology 21, no. 7 (2015): 2655-2660."
10.3,Means of Dissemination,Means of Dissemination,"FAOSTAT Emissions database, publicly available from:http://www.fao.org/faostat/en/#data/GM"
10.4,Means of Dissemination,Micro-data access,Not Available
10.5,Means of Dissemination,Other,"FAO Statistics Working Papers (http://www.fao.org/economic/ess/ess-publications/workingpapers/en/), other publications from the Economic and Social Development Department (ES) and the Monitoring and Assessment of Greenhouse Gas Emissions and Mitigation Potential in Agriculture (MAGHG) project (http://www.fao.org/climatechange/micca/ghg/en/)"
11.1,Availability of National Reference,Documentation on methodology,http://fenixservices.fao.org/faostat/static/documents/GM/GM_e.pdf
11.2,Availability of National Reference,Quality documentation,"For the emission estimates: No quality report is available. However, quality assessment (12.2), relevance(13), accuracy (14), timeliness (15), as well as comparability (16) and coherence (17) altogether indicate a good quality of estimates, compatibly with the underlying Tier 1 IPCC methodology applied."
12,Management System FAO,Quality management,
12.1,Management System FAO,Quality assurance,For source data (activity data): the FAO Statistics Quality Assurance Framework is applied (http://www.fao.org/docrep/019/i3664e/i3664e.pdf)
12.2,Management System FAO,Quality assessment,"For emission estimates: A peer-review process was launched (details of results in http://www.fao.org/climatechange/35293-0586769eafd852c772743b5e92ca84868.pdf ) Further to this, results were presented in a series of peer-reviewed publications (links at: http://www.fao.org/climatechange/micca/ghg/en), including the IPCC Fifth Assessment Report (http://report.mitigation2014.org/drafts/final-draft-postplenary/ipcc_wg3_ar5_final-draft_postplenary_chapter11.pdf)  For source data (see 20.1): No unitary quality assessment is available. See 11.2 for an assessment of data quality at country level in past years."
13.1,Classification Users,User needs,"The main users are FAO analysts, other international organizations, national governments, trade and professional associations, research institutes and universities, journalists and general public."
13.2,Classification Users,User satisfaction,Feedback from users are routinely recorded. The FAOSTAT User Consultation took place during April-December 2018. http://www.fao.org/3/ca7239en/ca7239en.pdf
13.3,Classification Users,Completeness,"Completeness of emission estimates reflects completeness of  source data, whose metadata (http://faostat3.fao.org/faostat-gateway/go/to/mes/methodology_list/*/E) read: ""In general, figures have been supplied by governments through national publications and FAO questionnaires (both paper or electronic). To make the coverage of this data collection as complete as possible, official data have sometimes been supplemented with data from unofficial sources. Use has also been made of information supplied by other national or international agencies or organizations"". All countries are covered with various degrees of completeness depending on the country, the year and the livestock. Aggregated emission estimates (by country, by livestock) necessarily reflect this."
14.1,Main Sources of Error,Overall accuracy,"Accuracy in estimates of GHG emissions depend on the accuracy of activity data and  emission factors as well as on the choice of methodology.  FAOSTAT emission estimates are based on standard IPCC methodology and emission factors at Tier 1 (reckoned the simplest of methods). Inaccuracy may be due to, inter alia, generality of algorithms, natural variability, partitioning fractions, lack of spatial or temporal coverage, spatial aggregation. See 11.2 and 20.5 In the case of manure management, more detailed information is available in the IPCC 2006 guidelines, Vol. 4, Ch. 10, Section 10.5.5 (http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf)"
14.2,Main Sources of Error,Sampling error,Not Available
14.3,Main Sources of Error,Non-sampling error,Not Available
15.1,Timeliness and punctuality,Timeliness,"For livestock, FAOSTAT data of any year refer to data collected from October 1st to December 31st of the preceding year plus data from January 1st to September 30th of the same year. Data in FAOSTAT are then released approximately two years later."
15.2,Timeliness and punctuality,Punctuality,Not Available
16.1,Comparability Between Countries or Regions,Comparability - geographical,"Fairly good comparability of emission estimates at global level, reflecting comparability of source data (see Source data section)."
16.1.1,Comparability Between Countries or Regions,Code - geographical comparability,
16.2,Comparability Between Countries or Regions,Comparability - over time,Fairly good comparability in the short to medium terms.
16.2.1,Comparability Between Countries or Regions,Code - time Comparability,
17.1,Differences of the statistical outputs,Coherence - cross domain,"Cross domain coherence is fairly good with EPA (2006 and 2011) and EDGAR, as reported in the IPCC Assessment Report 5, WG III, chapter 11, Figure 11.4 (statistics not available) (http://report.mitigation2014.org/drafts/final-draft-postplenary/ipcc_wg3_ar5_final-draft_postplenary_chapter11.pdf)"
17.1.1,Differences of the statistical outputs,Code - cross domain coherence,Internal data coherence is checked routinely through QA/QC processes.
17.2,Differences of the statistical outputs,Coherence - internal,
18,Cost associated,Cost and Burden,FAO activities supported by regular funding.
19.1,General revision policy,Data revision - policy,"In case a country sends in revised data through the yearly FAO questionnaire, the revision is reflected in the database. For FAOSTAT  emissions, this only refers to source data (activity data)."
19.2,General revision policy,Data revision - practice,The revised data are disseminated at the same time of the updated series (once a year).
20.1,Identification Data,Source data,"For the period 1961-– 2018, activity data are derived directly from FAOSTAT domains Production/Live animals (http://www.fao.org/faostat/en/#data/QA) and Production/Livestock Primary (http://www.fao.org/faostat/en/#data/QL). Projections of activity data for 2030 and 2050 are computed with respect to a baseline, defined as the 2005 – 2007 average of the corresponding FAOSTAT activity data, and by applying percentage growth rates from FAO perspective studies (Alexandratos and Bruinsma, 2012). Activity data for animal categories for which FAO projections were not available were set to the most recent available FAOSTAT value. The FAO projections used cover some 140 countries. Projections of activity data for countries not included assume the same growth rate of neighboring countries.  Conversion factors are taken from IPCC 2006 guidelines (http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html). A complete description of the methodology is available under the ""Related documents"" section of the FAOSTAT domain Manure Management."
20.1.1,Identification Data,Code - Origin fro predominate  source data,
20.1.2,Identification Data,Code - type of data,
20.2,Identification Data,Frequency of data collection,Data are updated yearly
20.3,Identification Data,Code - Type and purpose of data collection,FAOSTAT livestock production data (activity data) are collected from national statistical offices through FAOSTAT questionnaires.
20.4,Identification Data,Data validation,"Countries and International Organizations are responsible for transmitting data which have already been checked. Validation is then done by FAOSTAT when data are received and concerns any transmission errors, consolidation and data consistency."
20.5,Identification Data,Data compilation,"When no activity (source) data is available, FAOSTAT emissions database results in no data (i.e. no imputations are made) . GHG emissions from manure management consist of methane and nitrous oxide gases from aerobic and anaerobic decomposition processes. The FAOSTAT emission data are computed at Tier 1 following IPCC, 2006, Vol. 4, Ch. 10 and 11. The term manure includes both urine and dung (i.e., both liquid and solid material) produced by livestock. More specifically, CH4 gas is produced by anaerobic decomposition of manure stored or treated, while N2O is produced directly by nitrification and de-nitrification processes in the manure, and indirectly by nitrogen (N) volatilization and re-deposition processes, as well as from leaching of manure N.   CH4 emissions are estimated at country level, using the formula:  Emission = A * EF  where: Emission = GHG emissions in kg CH4 yr-1; A = Activity data, representing number of livestock in heads (1); EF = Tier 1, default IPCC emission factors, expressed in kg CH4 head-1 yr-1 (2).  (1) Activity data cover the following animal categories: buffalo, sheep, goats, camels, llamas, horses, mules, asses, ducks, turkeys, dairy and non-dairy cattle*, chickens layers and broilers** and market and breeding swine***.   For the period 1961-present, activity data are taken directly from FAOSTAT (domain: Production/Live animals). Projections of activity data for 2030 and 2050 for the following categories: dairy and non-dairy cattle, buffaloes, sheep, goats, pigs and poultry, are computed with respect to a baseline, defined as the 2005-2007 average of the corresponding FAOSTAT activity data, and by applying percentage growth rates from FAO perspective studies (Alexandratos and Bruinsma, 2012). Activity data for animal categories for which FAO projections were not available were set to the most recent available FAOSTAT value. The FAO projections used cover some 140 countries. Projections of activity data for countries not included assume the same growth rate of neighbouring countries.  *FAOSTAT livestock data include the items cattle and dairy cattle. Dairy cattle data are expressed as heads of cows producing milk, and can be found under the domain Production/Livestock Primary by selecting the item milk, whole fresh cow and the element producing animals. Non-dairy cattle is derived from FAOSTAT categories, specifically as cattle minus dairy cattle;  **FAOSTAT livestock data include the items chicken and chicken layers. Chicken layers are expressed in 1000 heads of hens which have laid eggs in the reference period, and can be found under the domain Production/Livestock Primary by selecting the item eggs, hen, in shell and the element producing animals. Chickens broilers is derived from FAOSTAT categories, specifically as chickens minus chickens layers;  ***FAOSTAT livestock data include the item pigs. Market and breeding swine are calculated respectively as 90% and 10% of item pigs (IPCC, 2006, Vol.4, Ch.10, Tab.10.19).  (2) The EF values are assigned to each country (IPCC, 2006: Tab. 10.14 for cattle, buffaloes and pigs and Tab. 10.15 for all other animals), as a function of country-level average annual temperature (°C). Average annual temperatures by country are taken from the FAO Global Agro-Ecological Zones (GAEZ) dataset (IIASA/FAO, 2012), relative to the baseline period 1961-1990.   Direct N2O emissions are estimated at country level, using the formula: Emission = A * EF  where: Emission = GHG emissions in kg N2O-N yr-1; A = Activity data, representing the total amount of N in manure treated in manure management systems (MMS) in kg N yr-1 (3);  EF = Tier 1, default IPCC emission factors, expressed in kg N2O-N/kg N yr-1 (4).  (3) It is the total amount of N excreted (i) for each livestock categories (ii) treated in MMS (iii).  (i) Following IPCC, 2006: Vol. 4, Ch. 10 Eq. 10.30, the total amount of N excreted by each livestock category is calculated multiplying the number of livestock heads by two coefficients: a) the Typical Animal Mass (TAM) and b) the N excretion coefficient (Nex). Both parameters vary according to geographic region. TAM values are obtained from IPCC, 2006: Vol.4, Ch. 10, Annex 10A.2, Tabs. 10A-4 to 10A-9; Nex values are derived from IPCC, 2006: Vol.4, Ch. 10, Tab. 10.19.  (ii) see (1) for the livestock categories.  (iii) Default IPCC percentages of total N treated in different MMS, by region and livestock category, are taken from IPCC, 2006: Vol.4, Ch. 10, Annex 10A.2 Tabs. 10A-4 to 10A-9 (for poultry: IPCC, 1997: Ch.4 Tab. 4.21).   (4) The EF values depend on the specific MMS, as per IPCC 2006, Vol.4, Ch. 10, Tab. 10.21.   Indirect N2O emissions are estimated at country level, using the formula:  Emission = A * EF where: Emission = GHG emissions in kg N2O-N yr-1; A = Activity data, representing the fraction of total amount of nitrogen (N) in manure treated in MMS that volatizes as NH3 and NOx and is lost through runoff and leaching, in kg N yr-1 (5);  EF = Tier 1, default IPCC emission factors, expressed in kg N2O-N/kg N yr-1 (6).  (5) The fractions for volatilization by animal and MMS are taken from IPCC, 2006: Vol. 4, Ch. 10, Tab. 10.22. A mean fraction value of 10% for all countries is used for leaching (IPCC, 2006: Vol. 4, Ch. 10, note to Eq. 10.28).  (6) All countries are assigned global default EF values for volatilization and leaching (IPCC, 2006: Vol. 4, Ch. 11, Tab. 11.3).  Dimensionless conversion factors used are: 44/28, to convert the emissions from kg N2O-N to kg N2O gas; 10-6, to convert kg to Gg; and GWP-CH4 = 21 and GWP-N2O = 310 (100-year time horizon global warming potential), to convert Gg CH4 or Gg N2O to Gg CO2eq. (IPCC, 1996: Technical Summary, Tab. 4 pg. 22).  References  Alexandratos, N. and J. Bruinsma. 2012. World agriculture towards 2030/2050: the 2012 revision. ESA Working paper No. 12-03. Rome, FAO. (http://www.fao.org/fileadmin/templates/esa/Global_persepctives/world_ag_2030_50_2012_rev.pdf)  IIASA/FAO. 2012. Global Agro Ecological Zones (GAEZ v3.0), IIASA, Laxenburg, Austria, and FAO, Rome. www.fao.org/nr/gaez  IPCC. 1996. Climate Change 1995 - The Science of Climate Change: Contribution of Working Group I to the Second Assessment Report of the Intergovernmental Panel on Climate Change. Cambridge University Press. (https://www.ipcc.ch/ipccreports/sar/wg_I/ipcc_sar_wg_I_full_report.pdf)  IPCC. 2006. 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Prepared by the National Greenhouse Gas Inventories Programme, Eggleston H.S., Buendia L., Miwa K., Ngara T. and Tanabe K. (Eds), IGES, Hayama, Japan. (http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html)"
20.5.1,Identification Data,Code for type of processing,
20.5.2,Identification Data,Imputation rate (frequency and value),
20.5.3,Identification Data,Coverage rate,
20.6,Identification Data,Adjustment,No adjustment applied.
21,Comment,Comment,The FAOSTAT Emissions database is developed and maintained by FAO Statistics Division (ESS) with Regular Programme Funding. Initial support was kindly provided by Norway and Germany under Trust Funds GCP/GLO/286/GER and GCP/GLO/325/NOR.
